Sch. Ref	Part	Package	Description	Part Name	Pcs	Manufacturer	Manufacturer Part#	Seller	Seller Part#	Notes
C-EUC0402:1µF	C11	402	1uF capacitor	C_1uF_0402	1	Murata	GRM155R61A105KE15D	Mouser	81-GRM155R61A105KE15D	
C-EUC0402:15µF	C12	402	1uF capacitor	C_1uF_0402	1	Murata	GRM155R61A105KE15D	Mouser	81-GRM155R61A105KE15D	
C-EUC0402:10nF	C14	402	10uF capacitor	C_10uF_0402	1	Murata	GRM155R60J106ME44D	Mouser	81-GRM155R60J106ME44D	
C-EUC0402:0.1µF	C16	402	10nF capacitor	C_10nF_0402	1	Murata	GRM155R71E103KA01D	Mouser	81-GRM155R71E103KA01D	
AD8232ACPZ_R7	C17	402	0.1uF capacitor	C_0.1uF_0402	1	Murata	GRM155R71C104KA88D	Mouser	81-GRM155R71C104KA88D	
	C18	402	0.1uF capacitor	C_0.1uF_0402	1	Murata	GRM155R71C104KA88D	Mouser	81-GRM155R71C104KA88D	
	C19	402	1.5nF capacitor	C_1.5nF_0402	1	Murata	GRM155R71H152KA01D	Mouser	81-GRM155R71H152KA01D	
	C20	402	1nF capacitor	C_1nF_0402	1	Murata	GRM1555C1H102JA01D	Mouser	81-GRM1555C1H102JA01D	
	C21	805	0.33uF capacitor	C_0.33uF_0805	1	Murata	GRM319R71H334KA01D	Mouser	81-GRM319R71H334KA01D	
	C29	402	15pF capacitor	C_15P_0402_NP0_J_50	1	Murata	GRM1555C1H150JZ01D	Mouser	81-GRM1555C1H150JZ01D	Capacitor, 15p, 0402, NP0, 5%, 50V
	C30	402	15pF capacitor	C_15P_0402_NP0_J_50	1	Murata	GRM1555C1H150JZ01D	Mouser	81-GRM1555C1H150JZ01D	Capacitor, 15p, 0402, NP0, 5%, 50V
	R13	402	100kohm resistor	R_100K_0402_F	1	Yageo	RC0402FR-07100KL	Mouser	603-RC0402FR-07100KL	
	R14	402	1Mohm resistor	R_1M_0402_F	1	Yageo	RC0402FR-071ML	Mouser	603-RC0402FR-071ML	
	R15	402	10Mohm resistor	R_10M_0402_F	1	KOA	RK73H1ETTP1005F	Mouser	660-RK73H1ETTP1005F	
	R16	402	10Mohm resistor	R_10M_0402_F	1	KOA	RK73H1ETTP1005F	Mouser	660-RK73H1ETTP1005F	
	R17	402	10Mohm resistor	R_10M_0402_F	1	KOA	RK73H1ETTP1005F	Mouser	660-RK73H1ETTP1005F	
	R18	402	10Mohm resistor	R_10M_0402_F	1	KOA	RK73H1ETTP1005F	Mouser	660-RK73H1ETTP1005F	
	R19	402	1.4Mohm resistor	R_1.4M_0402_F	1	Vishay Dale	CRCW04021M40FKED	Mouser	71-CRCW0402-1.4M-E3	
	R20	402	1Mohm resistor	R_1M_0402_F	1	Yageo	RC0402FR-071ML	Mouser	603-RC0402FR-071ML	
	R21	402	1Mohm resistor	R_1M_0402_F	1	Yageo	RC0402FR-071ML	Mouser	603-RC0402FR-071ML	
	R22	402	180kohm resistor	R_180K_0402_F	1	Yageo	RC0402FR-07180KL	Mouser	603-RC0402FR-07180KL	
	R23	402	180kohm resistor	R_180K_0402_F	1	Yageo	RC0402FR-07180KL	Mouser	603-RC0402FR-07180KL	
	R26	402	10Mohm resistor	R_10M_0402_F	1	KOA	RK73H1ETTP1005F	Mouser	660-RK73H1ETTP1005F	
	R27	402	10Mohm resistor	R_10M_0402_F	1	KOA	RK73H1ETTP1005F	Mouser	660-RK73H1ETTP1005F	
	R181	402	10Mohm resistor	R_10M_0402_F	1	KOA	RK73H1ETTP1005F	Mouser	660-RK73H1ETTP1005F	
	R182	402	10Mohm resistor	R_10M_0402_F	1	KOA	RK73H1ETTP1005F	Mouser	660-RK73H1ETTP1005F	
	R191	TBD	TBD	Themistor – Resistor	1	TBD	TBD	TBD	TBD	High Tolerance Resistor
	MOD1	"(16x12mm)
LGA"	Bluetooth Low Energy Module with Integrated Antenna and Balun Chip	LBM313-2540	1	"Punch
Through
Design"	LBM313-2540-256	"Punch
Through
Design"	LBM313-2540-256	
	U3	"CSP-20
(4x4mm)"	Analog ECG Front End	AD8232	1	Analog Devices	AD8232ACPZ-R7 / AD8232ACPZ-RL	Mouser	584-AD8232ACPZ-R7/584-AD8232ACPZ-R	
	Q1	 2x1.2mm	32.768kHz Crystal	X_32.768/20/50/40/12	1	ECS	ECS-.327-12.5-12-TR	Mouser	520-.327-12.5-12-TR	Crystal, 32.768 kHz, 12.5pF, 20/50 ppm,SMD package
	G1	20mm dia	Coin-Cell Battery	CR2032	1	Panasonic	CR2032	Mouser	658-CR2032	Contained in battery holder
	G2	TBD	Battery Holder		1	Philmore	BH2040			Attached with double sided tape, pins soldered to flex tab
	JP1	"SMT
0.050""
spacing"	10 pin connector		1	FCI	20021121-000-10C4LF			"For debug;
available at Digikey"
	TR1	See Gerber Data		Themistor	1	TBD	TBD	TBD	TBD	Berkley printed sensor; one thermister on bottom side
	ECG sensor	See Gerber Data								Berkley printed sensor two gold electrodes on bottom side
C-EUC0402:0.33µF										
