Key	Part	Package	Description	Part Name	Pcs	Manufacturer	Manufacturer Part#	Seller	Seller Part#	Notes
C-EUC0402:1µF						a				
C-EUC0402:15µF						a				
C-EUC0402:0.1µF						a				
C-EUC0402:10nF						a				
C-EUC0402:1.5nF						a				
C-EUC0402:1nF						a				
C-EUC0402:0.33µF						a				
C-EUC0402:15pF						a				
CR2032H						a				
CR2032SMT:CR2032 Batt Holder						a				
PINHD-2X5:10 pin connector						a				
LBM313-2540						a				
XTAL:32.768kHz						a				
R-US_R0402:100k						a				
R-US_R0402:1M						a				
R-US_R0402:10M						a				
R-US_R0402:10M						a				
R-US_R0402:10M						a				
R-US_R0402:10M						a				
R-US_R0402:1.4M						a				
R-US_R0402:1M						a				
R-US_R0402:1M						a				
R-US_R0402:180k						a				
R-US_R0402:180k						a				
R-US_R0402:10M						a				
R-US_R0402:10M						a				
R-US_R0402:10M						a				
R-US_R0402:10M						a				
R-US_R0402:50k						a				
THERMISTOR-2,5						a				
AD8232ACPZ_R7						a				
